institution,country,national_rank
East China Normal University,China,32
University of Debrecen,Hungary,3
Loma Linda University,USA,193
Old Dominion University,USA,194
University of Insubria,Italy,35
"University of Nevada, Las Vegas",USA,195
Hong Kong Baptist University,Hong Kong,6
University of Minho,Portugal,6
University of Messina,Italy,36
University of Texas at Arlington,USA,196
"University François Rabelais, Tours",France,32
"UNESP, São Paulo State University",Brazil,7
Toho University,Japan,45
Beijing University of Chemical Technology,China,33
"Rutgers, The State University of New Jersey - Newark",USA,197
Johannes Kepler University of Linz,Austria,8
Warsaw University of Technology,Poland,4
University of Paris 13,France,33
University of Toyama,Japan,46
University of Toledo,USA,198
University of Vigo,Spain,22
University of Kent,United Kingdom,51
Jichi Medical University,Japan,47
Roma Tre University,Italy,37
Chung Yuan Christian University,Taiwan,9
University of Haifa,Israel,7
Åbo Akademi University,Finland,9
Swansea University,United Kingdom,52
China Agricultural University,China,34
Marche Polytechnic University,Italy,38
"University of Maine, Orono",USA,199
Heriot-Watt University,United Kingdom,53
Marquette University,USA,200
